#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
160,Vietnam,"1,046",+2,34,,746,+11,266,,11,0.3,"1,009,145","10,352","97,487,623",Asia,"93,200","2,867,283",97
161,Chad,"1,017",,77,,884,,56,,62,5,,,"16,501,584",Africa,"16,226","214,306",
162,Myanmar,995,+76,6,,358,+1,631,,18,0.1,"157,843","2,898","54,472,258",Asia,"54,746","9,078,710",345
163,SaoTomeandPrincipe,896,,15,,853,,28,,"4,076",68,"3,843","17,481","219,833",Africa,245,"14,656",57
164,Martinique,747,,18,,98,,631,3,"1,991",48,"12,942","34,492","375,214",NorthAmerica,502,"20,845",29
165,SanMarino,715,,42,,660,,13,,"21,065","1,237","6,865","202,251","33,943",Europe,47,808,5
166,DiamondPrincess,712,,13,,651,,48,4,,,,,,,,,
167,ChannelIslands,630,,48,,545,,37,,"3,618",276,"83,755","480,975","174,136",Europe,276,"3,628",2
168,FrenchPolynesia,573,,,,205,,368,4,"2,038",,"14,463","51,436","281,187",Australia/Oceania,491,,19
169,TurksandCaicos,538,+30,4,,218,+18,316,3,"13,864",103,"2,495","64,296","38,805",NorthAmerica,72,"9,701",16
170,Tanzania,509,,21,,183,,305,7,8,0.3,,,"60,007,733",Africa,"117,893","2,857,511",
171,Taiwan,489,+1,7,,471,+9,11,,21,0.3,"87,646","3,679","23,824,252",Asia,"48,720","3,403,465",272
172,SintMaarten,482,+6,19,+2,241,+41,222,8,"11,220",442,"2,281","53,098","42,958",NorthAmerica,89,"2,261",19
173,PapuaNewGuinea,460,,5,,232,,223,,51,0.6,"15,592","1,737","8,975,067",Australia/Oceania,"19,511","1,795,013",576
174,Burundi,445,,1,,357,,87,,37,0.08,"24,659","2,064","11,947,482",Africa,"26,848","11,947,482",485
175,Comoros,427,,7,,410,,10,,489,8,,,"872,645",Africa,"2,044","124,664",
176,FaeroeIslands,411,,,,374,,37,2,"8,406",,"97,762","1,999,427","48,895",Europe,119,,1
177,Mauritius,356,,10,,335,,11,,280,8,"227,409","178,762","1,272,134",Africa,"3,573","127,213",6
178,IsleofMan,336,,24,,312,,0,,"3,948",282,"10,070","118,317","85,110",Europe,253,"3,546",8
179,Eritrea,319,,,,284,,35,,90,,,,"3,554,662",Africa,"11,143",,
180,Mongolia,306,+2,,,296,+1,10,1,93,,"54,897","16,701","3,287,097",Asia,"10,742",,60
181,Gibraltar,295,+5,,,240,+3,55,,"8,757",,"35,256","1,046,514","33,689",Europe,114,,1
182,Cambodia,274,,,,266,,8,1,16,,"100,002","5,967","16,757,816",Asia,"61,160",,168
183,Bhutan,227,+2,,,142,,85,,294,,"103,149","133,432","773,046",Asia,"3,405",,7
184,SaintMartin,213,,5,,79,,129,11,"5,493",129,"2,756","71,075","38,776",NorthAmerica,182,"7,755",14
185,CaymanIslands,205,,1,,204,,0,,"3,113",15,"35,574","540,211","65,852",NorthAmerica,321,"65,852",2
186,Barbados,176,,7,,146,,23,,612,24,"17,332","60,299","287,436",NorthAmerica,"1,633","41,062",17
187,Bermuda,172,,9,,157,,6,,"2,764",145,"45,756","735,178","62,238",NorthAmerica,362,"6,915",1
188,Brunei,144,,3,,139,,2,,329,7,"52,185","119,092","438,191",Asia,"3,043","146,064",8
189,Monaco,140,,1,,90,,49,1,"3,563",25,"51,953","1,322,296","39,290",Europe,281,"39,290",1
190,Seychelles,136,,,,127,,9,,"1,381",,,,"98,451",Africa,724,,
191,Liechtenstein,107,,1,,97,,9,,"2,805",26,900,"23,593","38,147",Europe,357,"38,147",42
